ID,Aname,AisMale,Aage,Aheight,Aweight,AtimePro,AtimeUFC,Awins,Alosses,AwinStk,AwinGra,AwinDec,AwinOtr,AlossStk,AlossGra,AlossDec,AlossOtr,Al3Wins,Al3Losses,Al3WinStk,Al3WinGra,Al3WinDec,Al3WinOtr,Al3LossStk,Al3LossGra,Al3LossDec,Al3LossOtr,AufcCount,AavgLength,Astreak,Bname,BisMale,Bage,Bheight,Bweight,BtimePro,BtimeUFC,Bwins,Blosses,BwinStk,BwinGra,BwinDec,BwinOtr,BlossStk,BlossGra,BlossDec,BlossOtr,Bl3Wins,Bl3Losses,Bl3WinStk,Bl3WinGra,Bl3WinDec,Bl3WinOtr,Bl3LossStk,Bl3LossGra,Bl3LossDec,Bl3LossOtr,BufcCount,BavgLength,Bstreak,Event,Result,ResultBy,ResultIn
Edimilson Souza vs. Mark Eddiva | UFC - The Ultimate Fighter Brazil 3 Finale,Mark Eddiva,1,10331,68,145,4100,91,6,0,1,2,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,1,281,6,Edimilson Souza,1,10818,72,145,1680,269,13,3,11,1,1,0,0,3,0,0,3,0,2,0,1,0,0,0,0,0,1,245,8,UFC - The Ultimate Fighter Brazil 3 Finale,0,1,1
Mark Munoz vs. Ryan Jensen | UFC 108 - Evans vs. Silva,Ryan Jensen,1,11792,70,175,4697,861,14,5,6,8,0,0,2,3,0,0,2,1,1,1,0,0,0,1,0,0,4,162,1,Mark Munoz,1,11650,72,185,898,301,6,1,3,0,3,0,1,0,0,0,2,1,1,0,1,0,1,0,0,0,2,471,1,UFC 108 - Evans vs. Silva,0,1,1
Matt Grice vs. Ricardo Lamas | UFC Live 4 - Kongo vs. Barry,Matt Grice,1,10924,68,145,2094,1527,14,3,6,3,4,0,1,2,0,0,3,0,0,2,1,0,0,0,0,0,4,325,4,Ricardo Lamas,1,10628,68,145,1248,0,9,2,2,2,5,0,2,0,0,0,2,1,1,0,1,0,1,0,0,0,0,607,-1,UFC Live 4 - Kongo vs. Barry,0,1,1
James Irvin vs. Stephan Bonnar | UFC Fight Night 3 - Sylvia vs. Silva,James Irvin,1,9988,74,185,960,345,9,1,8,1,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,0,2,203,2,Stephan Bonnar,1,10514,75,205,1528,282,8,2,1,5,2,0,1,0,1,0,2,1,0,1,1,0,0,0,1,0,2,335,1,UFC Fight Night 3 - Sylvia vs. Silva,0,2,1
Drew Dober vs. Jason Gonzalez | UFC 203 - Miocic vs. Overeem,Jason Gonzalez,1,9691,74,155,1899,0,10,2,4,6,0,0,0,1,0,0,3,0,2,1,0,0,0,0,0,0,0,261,6,Drew Dober,1,10188,68,155,2605,1015,16,7,5,6,5,0,1,1,5,0,1,1,0,0,1,0,0,1,0,0,6,625,1,UFC 203 - Miocic vs. Overeem,0,1,1
Alex Caceres vs. Urijah Faber | UFC 175 - Weidman vs. Machida,Alex Caceres,1,9511,69,145,2067,1197,10,5,2,5,3,0,0,4,1,0,2,0,0,1,1,0,0,0,0,0,9,645,4,Urijah Faber,1,12836,66,135,3887,1204,30,7,9,15,5,1,3,0,4,0,2,1,0,1,1,0,1,0,0,0,9,580,-1,UFC 175 - Weidman vs. Machida,0,2,1
Damien Brown vs. Dong Hyun Ma | UFC 221 - Romero vs. Rockhold,Damien Brown,1,12100,70,155,2786,693,17,11,3,8,6,0,2,4,5,0,1,2,0,0,1,0,1,0,1,0,5,529,-2,Dong Hyun Ma,1,10746,71,155,3989,805,15,8,6,6,3,0,2,2,4,0,2,1,1,0,1,0,1,0,0,0,4,499,2,UFC 221 - Romero vs. Rockhold,0,0,0
Elias Silverio vs. Joao Zeferino | UFC Fight Night 28 - Teixeira vs. Bader,Elias Silverio,1,9844,71,170,718,0,8,0,3,0,5,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,654,8,Joao Zeferino,1,10094,71,155,2839,109,13,5,1,9,3,0,2,0,2,0,2,1,0,2,0,0,0,0,1,0,1,344,-1,UFC Fight Night 28 - Teixeira vs. Bader,1,0,0
Derrick Lewis vs. Matt Mitrione | UFC Fight Night 50 - Jacare vs. Mousasi 2,Matt Mitrione,1,13201,75,255,1735,1735,7,3,6,0,1,0,1,1,1,0,2,1,2,0,0,0,0,1,0,0,10,416,1,Derrick Lewis,1,10802,75,264,1610,139,11,2,10,1,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,2,464,7,UFC Fight Night 50 - Jacare vs. Mousasi 2,1,1,1
Alessio Sakara vs. Victor Valimaki | UFC 70 - Nations Collide,Alessio Sakara,1,9362,73,205,1765,561,11,5,3,2,2,0,1,2,2,0,1,2,0,0,1,0,1,1,0,0,4,271,-2,Victor Valimaki,1,9256,72,233,2240,129,9,3,3,2,3,0,1,0,1,0,2,1,1,0,1,0,0,0,1,0,1,497,1,UFC 70 - Nations Collide,1,1,1
Fernando Bruno vs. Gray Maynard | UFC  - The Ultimate Fighter 23 Finale,Fernando Bruno,1,12553,66,145,3177,342,15,3,0,8,7,0,0,1,2,0,2,1,0,1,1,0,0,1,0,0,1,564,-1,Gray Maynard,1,13456,68,145,3731,3303,11,5,2,0,9,0,4,0,1,0,0,3,0,0,0,0,2,0,1,0,16,839,-4,UFC  - The Ultimate Fighter 23 Finale,0,0,0
Patrick Cote vs. Scott Smith | UFC 67 - All or Nothing,Patrick Cote,1,9836,71,170,1553,834,8,4,3,3,2,0,0,2,2,0,2,1,0,2,0,0,0,1,0,0,4,561,-1,Scott Smith,1,10120,72,185,2059,294,11,2,8,3,0,0,1,1,0,0,2,1,2,0,0,0,0,1,0,0,2,178,1,UFC 67 - All or Nothing,1,0,0
Matt Schnell vs. Naoki Inoue | UFC Fight Night 132 - Cerrone vs. Edwards,Matt Schnell,1,10386,68,125,2108,567,11,4,2,6,2,1,2,1,1,0,1,2,0,0,1,0,2,0,0,0,3,313,1,Naoki Inoue,1,7679,68,125,1238,371,11,0,0,7,4,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,1,367,11,UFC Fight Night 132 - Cerrone vs. Edwards,1,0,0
Marvin Eastman vs. Terry Martin | UFC 81 - Breaking Point,Terry Martin,1,9976,67,185,1974,896,16,4,11,4,0,0,3,0,1,0,2,1,2,0,0,0,1,0,0,0,5,304,-1,Marvin Eastman,1,13388,69,207,2779,1702,14,7,5,1,8,0,3,2,2,0,1,1,0,0,1,0,1,0,0,0,3,749,1,UFC 81 - Breaking Point,0,0,0
Jimmie Rivera vs. Urijah Faber | UFC 203 - Miocic vs. Overeem,Jimmie Rivera,1,9935,64,135,2920,420,19,1,4,2,13,0,0,0,1,0,3,0,1,0,2,0,0,0,0,0,3,796,18,Urijah Faber,1,13634,66,135,4685,2002,33,9,9,17,6,1,3,0,6,0,1,2,0,0,1,0,0,0,2,0,14,629,-1,UFC 203 - Miocic vs. Overeem,1,0,0
Brian Stann vs. Rodney Wallace | UFC - The Ultimate Fighter 10 Finale,Brian Stann,1,10664,73,185,1429,231,7,2,6,0,1,0,1,1,0,0,1,2,0,0,1,0,1,1,0,0,2,278,1,Rodney Wallace,1,10241,69,205,596,0,9,0,1,2,6,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,576,9,UFC - The Ultimate Fighter 10 Finale,1,0,0
